S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2022-05-05,361.00,365.00,356.00,356.30,-1.30,"14,718.00","5,270,036.80"
2,2022-05-04,364.00,366.00,360.00,361.00,-0.82,"12,602.00","4,559,131.40"
3,2022-05-02,367.00,367.00,363.60,364.00,-1.36,"15,384.00","5,617,595.30"
4,2022-04-28,378.00,378.00,367.10,369.00,-0.54,"26,491.00","9,776,276.70"
5,2022-04-27,370.00,371.00,368.00,371.00,-0.54,"12,344.00","4,560,074.90"
6,2022-04-26,374.00,377.00,371.50,373.00,-1.32,"11,521.00","4,299,443.30"
7,2022-04-25,380.00,384.00,375.00,378.00,0.37,"15,248.00","5,775,166.60"
8,2022-04-24,371.00,377.00,367.00,376.60,1.78,"22,222.00","8,286,882.20"
9,2022-04-21,370.00,370.00,363.00,370.00,0.00,"14,989.00","5,486,722.00"
10,2022-04-20,373.00,378.00,367.00,370.00,-0.27,"16,063.00","5,945,807.70"
11,2022-04-19,369.00,372.00,358.70,371.00,0.30,"19,684.00","7,175,205.00"
12,2022-04-18,370.00,374.00,367.00,369.90,-0.30,"15,159.00","5,593,073.90"
13,2022-04-17,370.00,376.00,368.00,371.00,1.09,"20,608.00","7,673,321.90"
14,2022-04-13,364.00,369.00,364.00,367.00,0.88,"29,290.00","10,740,710.00"
15,2022-04-12,363.60,373.30,363.60,363.80,-0.87,"12,556.00","4,584,713.60"
16,2022-04-11,373.00,382.00,366.10,367.00,-1.61,"27,160.00","10,072,937.50"
17,2022-04-07,364.70,375.00,364.70,373.00,1.66,"22,876.00","8,499,046.10"
18,2022-04-06,374.00,378.00,365.00,366.90,-2.63,"40,684.00","14,994,651.40"
19,2022-04-05,385.00,385.00,371.50,376.80,-0.58,"28,851.00","10,776,918.30"
20,2022-04-04,375.00,382.00,375.00,379.00,-0.39,"44,329.00","16,788,376.70"
21,2022-04-03,384.10,385.00,378.60,380.50,-0.94,"21,505.00","8,183,008.90"
22,2022-03-31,387.00,388.00,383.00,384.10,-0.23,"16,460.00","6,339,295.50"
23,2022-03-30,383.00,388.00,381.00,385.00,0.29,"19,953.00","7,663,860.50"
24,2022-03-29,381.00,389.60,379.00,383.90,-0.54,"18,020.00","6,935,183.20"
25,2022-03-28,385.60,390.00,384.00,386.00,-0.54,"22,843.00","8,820,969.30"
26,2022-03-27,393.00,394.00,388.00,388.10,-1.25,"20,877.00","8,132,480.30"
27,2022-03-24,394.50,395.00,392.00,393.00,-0.51,"24,489.00","9,624,549.10"
28,2022-03-23,405.90,405.90,392.00,395.00,-0.75,"14,248.00","5,640,696.10"
29,2022-03-22,395.00,399.40,395.00,398.00,0.61,"20,056.00","7,977,489.70"
30,2022-03-21,402.00,402.00,391.00,395.60,-0.25,"18,867.00","7,436,115.80"
31,2022-03-20,400.00,402.00,392.00,396.60,0.10,"22,115.00","8,781,238.50"
32,2022-03-16,399.00,400.00,396.00,396.20,-0.70,"20,680.00","8,232,074.90"
