S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2022-05-05,386.00,397.00,380.00,382.00,-1.82,"107,184.00","41,256,839.10"
2,2022-05-04,396.00,402.90,384.00,389.10,-1.67,"117,403.00","45,896,659.00"
3,2022-05-02,417.00,417.00,395.00,395.70,-5.15,"118,072.00","47,356,743.50"
4,2022-04-28,429.00,431.90,416.90,417.20,-1.14,"111,687.00","47,334,634.20"
5,2022-04-27,420.00,424.80,407.00,422.00,1.69,"124,757.00","52,113,332.40"
6,2022-04-26,423.00,428.00,411.00,415.00,-1.43,"69,782.00","29,259,707.20"
7,2022-04-25,428.00,440.00,413.00,421.00,0.19,"190,646.00","81,191,824.80"
8,2022-04-24,388.90,420.20,382.00,420.20,10.00,"224,591.00","91,220,157.10"
9,2022-04-21,379.00,397.00,365.00,382.00,2.72,"74,534.00","27,842,069.40"
10,2022-04-20,388.10,395.00,371.00,371.90,-4.64,"108,762.00","41,534,206.90"
11,2022-04-19,394.90,403.00,379.00,390.00,0.65,"91,503.00","35,573,369.20"
12,2022-04-18,408.90,408.90,387.00,387.50,-3.41,"83,672.00","32,988,464.00"
13,2022-04-17,415.00,421.00,401.20,401.20,-2.86,"118,936.00","48,625,304.70"
14,2022-04-13,414.90,421.00,407.00,413.00,0.00,"126,288.00","52,103,544.10"
15,2022-04-12,434.50,434.50,410.00,413.00,-3.05,"82,960.00","34,602,469.20"
16,2022-04-11,440.00,457.70,425.00,426.00,-3.18,"130,526.00","57,526,634.80"
17,2022-04-07,439.90,445.00,430.00,440.00,1.62,"110,681.00","48,565,458.80"
18,2022-04-06,437.00,447.00,428.20,433.00,-1.37,"100,503.00","43,869,855.10"
19,2022-04-05,446.00,452.00,429.30,439.00,-2.66,"154,842.00","68,039,966.90"
20,2022-04-04,451.00,459.50,448.00,451.00,-1.12,"86,541.00","39,102,886.10"
21,2022-04-03,470.00,471.00,455.70,456.10,-2.75,"63,957.00","29,394,016.00"
22,2022-03-31,486.10,490.00,465.10,469.00,-2.72,"78,193.00","37,029,719.30"
23,2022-03-30,465.50,484.00,462.00,482.10,3.68,"101,502.00","48,255,848.20"
24,2022-03-29,471.00,477.60,461.20,465.00,-0.85,"69,503.00","32,481,502.30"
25,2022-03-28,466.00,480.00,466.00,469.00,-1.26,"103,690.00","48,900,163.90"
26,2022-03-27,495.00,495.00,472.90,475.00,-3.55,"183,024.00","88,262,659.70"
27,2022-03-24,500.00,504.00,491.00,492.50,-1.16,"88,615.00","43,913,945.80"
28,2022-03-23,508.00,508.00,495.00,498.30,-2.29,"163,144.00","81,719,224.40"
29,2022-03-22,522.00,525.00,508.70,510.00,-1.92,"130,596.00","67,437,164.40"
30,2022-03-21,500.00,523.00,491.00,520.00,4.84,"181,425.00","92,339,119.00"
31,2022-03-20,500.00,503.00,494.00,496.00,0.40,"58,859.00","29,251,723.10"
32,2022-03-16,500.10,507.00,490.10,494.00,-1.22,"98,098.00","48,624,300.50"
33,2022-03-15,520.00,520.00,500.00,500.10,-2.76,"161,391.00","81,794,352.90"
34,2022-03-14,507.70,524.00,507.70,514.30,-0.71,"95,624.00","49,148,326.70"
35,2022-03-13,517.60,525.00,507.60,518.00,2.07,"249,397.00","129,130,330.20"
36,2022-03-10,477.00,524.00,470.00,507.50,6.39,"239,344.00","118,674,988.40"
37,2022-03-09,500.00,501.00,472.00,477.00,-3.44,"196,009.00","93,861,908.20"
38,2022-03-07,485.10,503.00,485.10,494.00,-0.20,"114,869.00","56,889,783.20"
39,2022-03-06,500.00,514.00,490.10,495.00,-1.04,"133,427.00","66,614,293.30"
40,2022-03-02,534.40,534.40,499.00,500.20,-4.54,"278,936.00","141,914,211.80"
41,2022-02-28,554.20,565.00,520.00,524.00,-3.57,"279,518.00","149,452,467.60"
42,2022-02-27,542.60,550.00,531.00,543.40,2.14,"187,615.00","101,928,478.40"
43,2022-02-24,543.10,548.00,530.00,532.00,-2.92,"241,993.00","129,743,943.50"
44,2022-02-23,552.00,558.90,547.30,548.00,-1.44,"135,015.00","74,677,430.10"
45,2022-02-22,539.00,566.00,539.00,556.00,1.09,"228,726.00","127,819,649.60"
46,2022-02-21,545.00,552.90,540.00,550.00,1.66,"186,119.00","101,822,762.80"
47,2022-02-20,541.00,555.00,530.00,541.00,-1.99,"314,734.00","171,267,901.60"
48,2022-02-17,552.00,560.70,546.00,552.00,-0.72,"144,692.00","80,006,210.80"
49,2022-02-16,569.00,573.00,550.20,556.00,-2.97,"286,885.00","160,871,011.60"
50,2022-02-15,551.80,574.00,542.00,573.00,5.91,"243,819.00","135,339,637.80"
51,2022-02-14,550.00,560.00,538.00,541.00,-0.37,"278,738.00","152,376,125.80"
52,2022-02-13,563.50,563.50,542.10,543.00,-5.57,"517,407.00","283,945,082.00"
53,2022-02-10,584.40,584.40,568.00,575.00,0.35,"283,093.00","162,638,954.70"
54,2022-02-09,571.00,581.00,564.10,573.00,-0.17,"325,928.00","186,169,765.30"
55,2022-02-08,602.00,610.00,571.00,574.00,-2.79,"611,755.00","358,512,432.90"
56,2022-02-07,600.00,601.00,585.00,590.50,-1.42,"425,281.00","251,664,732.80"
57,2022-02-06,604.80,628.30,593.00,599.00,1.01,"900,863.00","544,993,283.30"
58,2022-02-03,574.00,610.00,574.00,593.00,5.33,"1,384,721.00","827,035,336.50"
59,2022-02-01,544.60,566.00,530.00,563.00,5.43,"671,287.00","371,445,566.20"
60,2022-01-31,555.00,555.00,534.00,534.00,-2.02,"338,727.00","182,626,713.10"
61,2022-01-30,509.80,545.00,509.80,545.00,9.02,"412,650.00","219,636,501.10"
62,2022-01-27,507.00,507.00,495.00,499.90,0.18,"167,638.00","83,771,017.20"
63,2022-01-26,518.00,518.00,491.00,499.00,-1.77,"270,788.00","135,567,136.10"
64,2022-01-25,520.00,528.00,501.20,508.00,-1.17,"206,565.00","106,380,267.30"
65,2022-01-24,533.50,537.00,506.00,514.00,-5.34,"587,492.00","304,966,895.70"
66,2022-01-23,552.00,559.80,534.00,543.00,-1.27,"276,348.00","150,477,115.60"
67,2022-01-20,551.40,555.00,535.10,550.00,1.48,"294,440.00","161,090,168.80"
68,2022-01-19,550.00,559.90,540.00,542.00,-3.21,"367,013.00","200,739,654.50"
69,2022-01-18,582.70,582.70,545.00,560.00,-1.98,"457,209.00","257,142,421.20"
70,2022-01-17,550.00,573.20,532.00,571.30,5.89,"799,204.00","445,494,479.20"
71,2022-01-16,511.00,544.00,510.10,539.50,7.68,"686,411.00","364,317,531.70"
72,2022-01-13,483.00,508.00,480.20,501.00,3.73,"273,609.00","136,175,644.40"
73,2022-01-12,490.00,504.00,478.00,483.00,-1.43,"309,308.00","151,569,912.90"
74,2022-01-11,485.00,496.00,481.00,490.00,1.03,"212,925.00","104,010,097.70"
75,2022-01-10,497.70,500.00,476.10,485.00,-0.61,"295,079.00","144,320,106.80"
76,2022-01-09,465.00,491.00,465.00,488.00,6.53,"388,427.00","187,505,428.40"
77,2022-01-06,451.00,463.00,435.10,458.10,1.80,"191,377.00","87,278,017.40"
78,2022-01-05,447.00,462.00,439.00,450.00,1.12,"245,379.00","110,719,148.50"
79,2022-01-04,430.00,448.00,430.00,445.00,2.30,"157,611.00","69,786,523.00"
80,2022-01-03,447.00,448.00,435.00,435.00,-1.58,"125,498.00","55,311,521.00"
81,2022-01-02,434.50,444.00,425.90,442.00,2.84,"171,026.00","74,745,539.90"
82,2021-12-29,430.00,435.00,423.00,429.80,0.66,"74,145.00","31,765,538.40"
83,2021-12-28,415.00,430.00,410.00,427.00,0.95,"141,034.00","59,348,316.90"
84,2021-12-27,441.00,460.00,418.10,423.00,-4.06,"259,028.00","112,184,908.00"
85,2021-12-26,447.00,455.00,435.00,440.90,-1.36,"241,558.00","106,450,708.10"
86,2021-12-23,446.50,461.00,431.00,447.00,2.10,"314,113.00","141,017,822.50"
87,2021-12-22,405.00,437.80,400.00,437.80,10.00,"325,925.00","139,017,306.70"
88,2021-12-21,380.00,398.00,380.00,398.00,5.57,"102,673.00","40,326,104.00"
89,2021-12-20,380.00,390.00,375.00,377.00,-2.33,"73,563.00","27,969,931.80"
90,2021-12-16,400.00,405.00,385.20,386.00,-3.50,"134,064.00","52,840,483.60"
91,2021-12-15,406.10,425.00,395.00,400.00,0.45,"274,791.00","113,114,621.50"
